Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.193,295.032,0.891,104,0.791
RollerBallBrain,0.210,296.340,0.932,103,0.792
RollerBallBrain,0.189,297.579,0.877,104,0.793
RollerBallBrain,0.188,298.829,0.891,101,0.794
RollerBallBrain,0.195,300.108,0.909,105,0.795
RollerBallBrain,0.224,301.383,0.890,102,0.795
RollerBallBrain,0.207,302.714,0.942,101,0.796
RollerBallBrain,0.261,304.171,1.009,101,0.797
RollerBallBrain,0.255,305.872,1.181,104,0.798
RollerBallBrain,0.272,307.521,1.150,105,0.799
RollerBallBrain,0.344,309.381,1.241,109,0.800
RollerBallBrain,0.366,311.178,1.179,108,0.801
RollerBallBrain,0.359,312.812,1.060,106,0.801
RollerBallBrain,0.352,314.591,1.181,103,0.802
RollerBallBrain,0.276,316.233,1.118,108,0.803
RollerBallBrain,0.263,317.930,1.160,107,0.804
RollerBallBrain,0.220,319.376,1.032,104,0.805
RollerBallBrain,0.233,320.823,1.019,103,0.806
RollerBallBrain,0.220,322.201,0.974,103,0.806
RollerBallBrain,0.234,323.610,0.983,105,0.807
RollerBallBrain,0.199,324.970,0.967,102,0.808
RollerBallBrain,0.197,326.266,0.932,107,0.809
RollerBallBrain,0.210,327.635,0.971,115,0.810
RollerBallBrain,0.192,328.865,0.884,101,0.811
RollerBallBrain,0.194,330.107,0.875,105,0.811
RollerBallBrain,0.198,331.428,0.951,102,0.812
RollerBallBrain,0.199,333.081,1.278,106,0.813
RollerBallBrain,0.192,334.365,0.924,104,0.814
RollerBallBrain,0.188,335.661,0.924,103,0.814
RollerBallBrain,0.198,336.878,0.860,102,0.815
RollerBallBrain,0.188,338.182,0.947,107,0.815
RollerBallBrain,0.192,339.468,0.928,103,0.816
RollerBallBrain,0.199,340.713,0.894,102,0.816
RollerBallBrain,0.197,342.012,0.934,108,0.817
RollerBallBrain,0.194,343.278,0.906,108,0.818
RollerBallBrain,0.195,344.609,0.961,103,0.819
RollerBallBrain,0.265,345.967,0.919,107,0.819
RollerBallBrain,0.211,347.302,0.945,112,0.820
